protocolo,data_abertura,servico,latitude,longitude,status,criticidade,descricao,bairro
SYN010161,2025-12-04 23:42:28,Iluminação Pública,-22.944001,-43.192616,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010162,2025-11-28 23:42:28,Segurança Pública,-22.948376,-43.194927,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010163,2025-11-16 23:42:28,Conservação de Vias,-22.946909,-43.196381,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010164,2025-11-27 23:42:28,Conservação de Vias,-22.945576,-43.198011,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010165,2025-11-24 23:42:28,Iluminação Pública,-22.938971,-43.193607,Aberto,Média,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010166,2025-11-28 23:42:28,Iluminação Pública,-22.946808,-43.20046,Aberto,Média,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010167,2025-12-10 23:42:28,Segurança Pública,-22.948738,-43.199069,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010168,2025-11-30 23:42:28,Iluminação Pública,-22.948543,-43.196469,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010169,2025-12-11 23:42:28,Conservação de Vias,-22.94289,-43.195492,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010170,2025-12-05 23:42:28,Iluminação Pública,-22.979899,-43.194269,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010171,2025-12-10 23:42:28,Conservação de Vias,-22.981947,-43.193734,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010172,2025-12-04 23:42:28,Segurança Pública,-22.984877,-43.194341,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010173,2025-12-03 23:42:28,Segurança Pública,-22.98326,-43.193064,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010174,2025-12-01 23:42:28,Segurança Pública,-22.986927,-43.192758,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010175,2025-11-15 23:42:28,Segurança Pública,-22.982939,-43.192803,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010176,2025-12-10 23:42:28,Conservação de Vias,-22.98922,-43.19573,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010177,2025-11-27 23:42:28,Conservação de Vias,-22.98122,-43.190827,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010178,2025-11-30 23:42:28,Iluminação Pública,-22.980082,-43.190055,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010179,2025-11-18 23:42:28,Iluminação Pública,-22.98117,-43.194896,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010180,2025-12-08 23:42:28,Conservação de Vias,-22.990336,-43.189459,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010181,2025-12-07 23:42:28,Segurança Pública,-22.988576,-43.196763,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010182,2025-12-14 23:42:28,Segurança Pública,-22.981425,-43.19473,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010183,2025-12-03 23:42:28,Trânsito e Transporte,-22.980521,-43.19603,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Trânsito e Transporte,Ipanema - Arpoador
SYN010184,2025-12-03 23:42:28,Iluminação Pública,-22.987667,-43.190851,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010185,2025-11-24 23:42:28,Trânsito e Transporte,-22.98437,-43.188297,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Trânsito e Transporte,Ipanema - Arpoador
SYN010186,2025-11-16 23:42:28,Segurança Pública,-22.972364,-43.192448,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010187,2025-11-29 23:42:28,Iluminação Pública,-22.984557,-43.190277,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010188,2025-11-30 23:42:28,Segurança Pública,-22.982777,-43.190852,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010189,2025-11-20 23:42:28,Conservação de Vias,-22.981224,-43.194576,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010190,2025-11-29 23:42:28,Conservação de Vias,-22.983183,-43.192887,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010191,2025-11-21 23:42:28,Iluminação Pública,-22.977933,-43.191822,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010192,2025-12-03 23:42:28,Iluminação Pública,-22.977372,-43.192142,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010193,2025-12-04 23:42:28,Segurança Pública,-22.985862,-43.18674,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010194,2025-12-14 23:42:28,Iluminação Pública,-22.983027,-43.191042,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010195,2025-12-01 23:42:28,Segurança Pública,-22.984141,-43.193909,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Segurança Pública,Ipanema - Arpoador
SYN010196,2025-11-15 23:42:28,Iluminação Pública,-22.978466,-43.187358,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010197,2025-11-28 23:42:28,Iluminação Pública,-22.979292,-43.192461,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010198,2025-12-01 23:42:28,Iluminação Pública,-22.984358,-43.187243,Aberto,Alta,Reclamação sintética em Ipanema - Arpoador - Iluminação Pública,Ipanema - Arpoador
SYN010199,2025-12-10 23:42:28,Conservação de Vias,-22.981948,-43.196007,Aberto,Média,Reclamação sintética em Ipanema - Arpoador - Conservação de Vias,Ipanema - Arpoador
SYN010200,2025-11-27 23:42:28,Segurança Pública,-22.911524,-43.230625,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010201,2025-12-03 23:42:28,Iluminação Pública,-22.911623,-43.233717,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010202,2025-11-25 23:42:28,Segurança Pública,-22.913314,-43.236853,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010203,2025-12-10 23:42:28,Conservação de Vias,-22.914586,-43.230748,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010204,2025-12-13 23:42:28,Conservação de Vias,-22.917783,-43.235167,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010205,2025-12-05 23:42:28,Iluminação Pública,-22.912141,-43.227656,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010206,2025-11-26 23:42:28,Segurança Pública,-22.91163,-43.229204,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010207,2025-12-11 23:42:28,Segurança Pública,-22.910218,-43.23241,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010208,2025-11-26 23:42:28,Segurança Pública,-22.910898,-43.234587,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010209,2025-12-13 23:42:28,Segurança Pública,-22.913536,-43.235566,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010210,2025-11-22 23:42:28,Conservação de Vias,-22.91394,-43.223888,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010211,2025-11-30 23:42:28,Segurança Pública,-22.912255,-43.22566,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010212,2025-11-29 23:42:28,Iluminação Pública,-22.913699,-43.235606,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010213,2025-12-10 23:42:28,Iluminação Pública,-22.912196,-43.228114,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010214,2025-12-03 23:42:28,Trânsito e Transporte,-22.911312,-43.228613,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Trânsito e Transporte,Maracanã - Estádio
SYN010215,2025-11-16 23:42:28,Segurança Pública,-22.91915,-43.230978,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010216,2025-12-02 23:42:28,Segurança Pública,-22.90988,-43.23322,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010217,2025-12-11 23:42:28,Trânsito e Transporte,-22.908915,-43.232846,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Trânsito e Transporte,Maracanã - Estádio
SYN010218,2025-11-23 23:42:28,Iluminação Pública,-22.909621,-43.232276,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010219,2025-12-08 23:42:28,Iluminação Pública,-22.911688,-43.23352,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010220,2025-11-17 23:42:28,Segurança Pública,-22.910851,-43.225725,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010221,2025-11-18 23:42:28,Trânsito e Transporte,-22.909142,-43.231435,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Trânsito e Transporte,Maracanã - Estádio
SYN010222,2025-12-04 23:42:28,Conservação de Vias,-22.912208,-43.231024,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010223,2025-12-13 23:42:28,Segurança Pública,-22.909236,-43.229506,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010224,2025-12-09 23:42:28,Segurança Pública,-22.912588,-43.231365,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010225,2025-11-25 23:42:28,Iluminação Pública,-22.911078,-43.231192,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010226,2025-12-12 23:42:28,Iluminação Pública,-22.913151,-43.227995,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010227,2025-12-13 23:42:28,Iluminação Pública,-22.917268,-43.227206,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010228,2025-11-29 23:42:28,Conservação de Vias,-22.910242,-43.231981,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010229,2025-11-17 23:42:28,Segurança Pública,-22.914326,-43.2319,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010230,2025-12-12 23:42:28,Segurança Pública,-22.904631,-43.228824,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010231,2025-12-04 23:42:28,Conservação de Vias,-22.910986,-43.226285,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010232,2025-11-26 23:42:28,Conservação de Vias,-22.909425,-43.22993,Aberto,Alta,Reclamação sintética em Maracanã - Estádio - Conservação de Vias,Maracanã - Estádio
SYN010233,2025-12-06 23:42:28,Segurança Pública,-22.913534,-43.230274,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Segurança Pública,Maracanã - Estádio
SYN010234,2025-11-27 23:42:28,Iluminação Pública,-22.912787,-43.230367,Aberto,Média,Reclamação sintética em Maracanã - Estádio - Iluminação Pública,Maracanã - Estádio
SYN010235,2025-12-13 23:42:28,Segurança Pública,-22.917534,-43.162951,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010236,2025-11-19 23:42:28,Iluminação Pública,-22.914027,-43.162804,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010237,2025-11-29 23:42:28,Segurança Pública,-22.913909,-43.164051,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010238,2025-11-28 23:42:28,Conservação de Vias,-22.917227,-43.161893,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010239,2025-12-11 23:42:28,Conservação de Vias,-22.915168,-43.166275,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010240,2025-11-26 23:42:28,Conservação de Vias,-22.915663,-43.158462,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010241,2025-11-30 23:42:28,Conservação de Vias,-22.921814,-43.160892,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010242,2025-11-29 23:42:28,Segurança Pública,-22.911037,-43.162662,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010243,2025-11-15 23:42:28,Iluminação Pública,-22.910393,-43.162061,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010244,2025-11-25 23:42:28,Iluminação Pública,-22.916701,-43.157934,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010245,2025-11-24 23:42:28,Trânsito e Transporte,-22.921436,-43.160701,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Trânsito e Transporte,Santa Teresa - Escadaria
SYN010246,2025-12-05 23:42:28,Iluminação Pública,-22.914265,-43.164316,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010247,2025-11-19 23:42:28,Trânsito e Transporte,-22.916761,-43.16192,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Trânsito e Transporte,Santa Teresa - Escadaria
SYN010248,2025-11-27 23:42:28,Segurança Pública,-22.921222,-43.161661,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010249,2025-12-04 23:42:28,Conservação de Vias,-22.912627,-43.161515,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010250,2025-12-14 23:42:28,Segurança Pública,-22.919529,-43.162443,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010251,2025-11-17 23:42:28,Iluminação Pública,-22.915056,-43.163469,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010252,2025-12-01 23:42:28,Segurança Pública,-22.917869,-43.160044,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010253,2025-11-30 23:42:28,Segurança Pública,-22.916099,-43.164441,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010254,2025-12-01 23:42:28,Iluminação Pública,-22.909385,-43.162006,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010255,2025-11-22 23:42:28,Conservação de Vias,-22.917346,-43.15412,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010256,2025-11-27 23:42:28,Segurança Pública,-22.916826,-43.159577,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010257,2025-12-10 23:42:28,Iluminação Pública,-22.913868,-43.163782,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010258,2025-12-01 23:42:28,Segurança Pública,-22.917823,-43.167644,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010259,2025-11-20 23:42:28,Conservação de Vias,-22.913033,-43.159145,Aberto,Média,Reclamação sintética em Santa Teresa - Escadaria - Conservação de Vias,Santa Teresa - Escadaria
SYN010260,2025-11-28 23:42:28,Segurança Pública,-22.918488,-43.16117,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010261,2025-12-04 23:42:28,Iluminação Pública,-22.915684,-43.160064,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Iluminação Pública,Santa Teresa - Escadaria
SYN010262,2025-11-27 23:42:28,Segurança Pública,-22.918669,-43.161354,Aberto,Alta,Reclamação sintética em Santa Teresa - Escadaria - Segurança Pública,Santa Teresa - Escadaria
SYN010263,2025-11-30 23:42:28,Segurança Pública,-22.917192,-43.174697,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010264,2025-11-17 23:42:28,Segurança Pública,-22.920024,-43.172568,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010265,2025-11-15 23:42:28,Iluminação Pública,-22.915855,-43.181029,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010266,2025-11-16 23:42:28,Segurança Pública,-22.911895,-43.180413,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010267,2025-12-11 23:42:28,Segurança Pública,-22.920871,-43.18647,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010268,2025-12-04 23:42:28,Iluminação Pública,-22.922712,-43.182467,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010269,2025-11-19 23:42:28,Iluminação Pública,-22.920874,-43.176643,Aberto,Média,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010270,2025-12-14 23:42:28,Segurança Pública,-22.919871,-43.181044,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010271,2025-12-14 23:42:28,Iluminação Pública,-22.922243,-43.17784,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010272,2025-11-21 23:42:28,Trânsito e Transporte,-22.92004,-43.175966,Aberto,Média,Reclamação sintética em Lapa - Arcos - Trânsito e Transporte,Lapa - Arcos
SYN010273,2025-12-11 23:42:28,Segurança Pública,-22.91964,-43.180639,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010274,2025-11-29 23:42:28,Segurança Pública,-22.921653,-43.175286,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010275,2025-11-23 23:42:28,Segurança Pública,-22.921358,-43.178303,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010276,2025-11-27 23:42:28,Conservação de Vias,-22.921646,-43.181081,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Conservação de Vias,Lapa - Arcos
SYN010277,2025-12-06 23:42:28,Trânsito e Transporte,-22.924863,-43.179127,Aberto,Média,Reclamação sintética em Lapa - Arcos - Trânsito e Transporte,Lapa - Arcos
SYN010278,2025-11-20 23:42:28,Iluminação Pública,-22.923144,-43.179589,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010279,2025-11-18 23:42:28,Segurança Pública,-22.916631,-43.1757,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010280,2025-12-11 23:42:28,Conservação de Vias,-22.91717,-43.171281,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Conservação de Vias,Lapa - Arcos
SYN010281,2025-11-28 23:42:28,Segurança Pública,-22.918324,-43.177463,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010282,2025-12-07 23:42:28,Segurança Pública,-22.916266,-43.178176,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010283,2025-12-06 23:42:28,Segurança Pública,-22.916384,-43.181179,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010284,2025-11-16 23:42:28,Segurança Pública,-22.9158,-43.1821,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010285,2025-11-21 23:42:28,Trânsito e Transporte,-22.919231,-43.179497,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Trânsito e Transporte,Lapa - Arcos
SYN010286,2025-11-22 23:42:28,Segurança Pública,-22.921339,-43.181168,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010287,2025-12-14 23:42:28,Segurança Pública,-22.920654,-43.177796,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010288,2025-12-04 23:42:28,Iluminação Pública,-22.917661,-43.180877,Aberto,Média,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010289,2025-12-11 23:42:28,Iluminação Pública,-22.917878,-43.17708,Aberto,Média,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010290,2025-12-02 23:42:28,Segurança Pública,-22.921184,-43.178607,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010291,2025-11-17 23:42:28,Segurança Pública,-22.921173,-43.180834,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010292,2025-11-30 23:42:28,Iluminação Pública,-22.921175,-43.178393,Aberto,Média,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010293,2025-11-17 23:42:28,Trânsito e Transporte,-22.920169,-43.180073,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Trânsito e Transporte,Lapa - Arcos
SYN010294,2025-12-13 23:42:28,Segurança Pública,-22.919965,-43.176766,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010295,2025-12-13 23:42:28,Segurança Pública,-22.913755,-43.176169,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010296,2025-11-27 23:42:28,Iluminação Pública,-22.915995,-43.180656,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
SYN010297,2025-11-27 23:42:28,Trânsito e Transporte,-22.918218,-43.177762,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Trânsito e Transporte,Lapa - Arcos
SYN010298,2025-11-24 23:42:28,Conservação de Vias,-22.91918,-43.178388,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Conservação de Vias,Lapa - Arcos
SYN010299,2025-11-24 23:42:28,Segurança Pública,-22.917982,-43.177474,Aberto,Média,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010300,2025-12-09 23:42:28,Conservação de Vias,-22.917224,-43.173142,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Conservação de Vias,Lapa - Arcos
SYN010301,2025-11-29 23:42:28,Segurança Pública,-22.916925,-43.178543,Aberto,Alta,Reclamação sintética em Lapa - Arcos - Segurança Pública,Lapa - Arcos
SYN010302,2025-11-28 23:42:28,Iluminação Pública,-22.918747,-43.184229,Aberto,Média,Reclamação sintética em Lapa - Arcos - Iluminação Pública,Lapa - Arcos
